ID;species;long;lat;max.age;min.age;n.dates
2593;Homo_neanderthalensis;0.46;45.08;381000;289000;2
2595;Homo_heidelbergensis;-8.44;39.44;314000;290000;1
2596;Homo_heidelbergensis;0.23;51.48;345000;293000;1
2597;Homo_heidelbergensis;39.89;28.35;327000;293000;1
2607;Homo_heidelbergensis;1.3;49.14;490000;298000;1
2610;Homo_heidelbergensis;35;-3;500000;300000;1
2611;Homo_heidelbergensis;34.81;31.77;500000;300000;1
2612;Homo_heidelbergensis;-3.11;37.39;480000;300000;1
2613;Homo_heidelbergensis;7.23;43.71;460000;300000;1
2614;Homo_heidelbergensis;6.28;49.87;330000;300000;1
2615;Homo_heidelbergensis;1.73;52.45;686000;301000;3
2620;Homo_heidelbergensis;10.95;52.13;337000;305000;1
2622;Homo_heidelbergensis;39.89;28.35;353000;307000;1
2623;Homo_heidelbergensis;0.75;52.38;476000;310000;1
2624;Homo_heidelbergensis;13.64;45.77;402000;310000;1
2625;Homo_heidelbergensis;-4.47;47.98;486000;310000;2
2627;Homo_heidelbergensis;1.14;44.96;369000;313000;1
2631;Homo_heidelbergensis;1.2;44.8;370000;316000;1
2634;Homo_heidelbergensis;-4.42;37.41;379000;321000;1
2636;Homo_heidelbergensis;-4.47;47.98;441000;322000;3
2639;Homo_neanderthalensis;1.63;44.62;335000;325000;1
2640;Homo_heidelbergensis;38.81;35.15;550000;325000;1
2643;Homo_heidelbergensis;12.22;41.92;432000;328000;3
2645;Homo_heidelbergensis;-3.85;36.76;462000;330000;1
2646;Homo_heidelbergensis;2.29;49.89;476000;330000;1
2649;Homo_heidelbergensis;0.63;52.32;442000;334000;2
2652;Homo_heidelbergensis;-3.45;40.3;424700;334700;1
2653;Homo_heidelbergensis;-1.01;52.74;774000;335000;2
2655;Homo_heidelbergensis;0.41;46.76;482000;338000;1
2656;Homo_heidelbergensis;1.16;47.88;458000;338000;1
2657;Homo_heidelbergensis;2.75;42.82;580000;339000;8
2659;Homo_heidelbergensis;3.32;48.26;370000;342000;1
2660;Homo_heidelbergensis;0.41;46.76;503000;343000;1
2661;Homo_heidelbergensis;1.36;48.18;405000;343000;1
2665;Homo_heidelbergensis;14.02;41.33;352000;346000;1
2667;Homo_heidelbergensis;13.51;41.55;357000;349000;1
2669;Homo_heidelbergensis;9.21;48.8;400000;350000;1
2670;Homo_heidelbergensis;11.07;51.28;420000;350000;1
2673;Homo_heidelbergensis;28.08;44.37;424000;352000;2
2674;Homo_heidelbergensis;12.3;41.93;365000;353000;1
2675;Homo_heidelbergensis;41.72;43.88;375000;353000;1
2680;Homo_heidelbergensis;1.24;52.94;672000;360000;2
2682;Homo_heidelbergensis;2.75;42.82;638000;362000;3
2683;Homo_heidelbergensis;1.19;52.34;446000;362000;1
2684;Homo_heidelbergensis;1.36;48.18;432000;362000;1
2685;Homo_heidelbergensis;13.57;41.56;384000;364000;1
2686;Homo_heidelbergensis;34.98;32.11;459000;365000;2
2688;Homo_heidelbergensis;41.72;43.88;385000;367000;1
2693;Homo_heidelbergensis;0.67;52.38;424000;374000;1
2694;Homo_heidelbergensis;-8.61;33.51;427000;376000;2
2695;Homo_heidelbergensis;2.35;49.87;516000;380000;1
2696;Homo_heidelbergensis;13.58;41.52;397000;381000;1
2697;Homo_heidelbergensis;34.65;17.89;400000;382000;1
2701;Homo_heidelbergensis;13.43;41.55;407000;387000;1
2702;Homo_erectus;118.33;31.75;437000;387000;1
2703;Homo_erectus;115.92;39.69;412000;388000;1
2705;Homo_heidelbergensis;-6.8;34;455000;389000;1
2706;Homo_heidelbergensis;2.35;49.87;496000;390000;1
2709;Homo_heidelbergensis;2.83;48.39;512000;392000;1
2710;Homo_heidelbergensis;0.75;52.38;503000;393000;1
2712;Homo_heidelbergensis;0.3;51.45;425000;395000;1
2714;Homo_heidelbergensis;13.58;41.52;414000;396000;1
2715;Homo_heidelbergensis;22.08;43.33;525000;397000;1
2716;Homo_heidelbergensis;13.14;41.74;418000;398000;1
2717;Homo_heidelbergensis;-3.3;42.21;470000;398000;1
2718;Homo_heidelbergensis;2.35;49.87;723000;399000;2
2719;Homo_heidelbergensis;2.26;49.9;723000;399000;3
2720;Homo_heidelbergensis;28.85;-24.2;600000;400000;1
2721;Homo_heidelbergensis;34.78;32.01;500000;400000;1
2722;Homo_heidelbergensis;-4.47;47.98;530000;400000;1
2723;Homo_heidelbergensis;12.43;41.9;411000;401000;1
2724;Homo_heidelbergensis;23.01;-27.65;682000;402000;2
2725;Homo_heidelbergensis;1.1;47.84;566000;405000;2
2726;Homo_heidelbergensis;12.3;41.93;416000;406000;1
2727;Homo_heidelbergensis;-7.75;33.5;595000;407000;1
2728;Homo_heidelbergensis;41.72;43.88;428000;408000;1
2730;Homo_heidelbergensis;12.28;41.9;414000;410000;1
2731;Homo_heidelbergensis;1.84;50.1;540000;414000;2
2735;Homo_heidelbergensis;0.41;46.76;521000;425000;1
2736;Homo_erectus;111.36;-7.37;550000;425000;2
2737;Homo_heidelbergensis;1.84;50.1;996000;426000;1
2739;Homo_heidelbergensis;1.84;50.1;716000;430000;2
2741;Homo_heidelbergensis;2.28;49.89;730000;432000;5
2742;Homo_heidelbergensis;1.09;36.49;549000;435000;1
2743;Homo_heidelbergensis;13.64;45.77;480000;440000;1
2745;Homo_heidelbergensis;7.41;50.4;460000;444000;1
2746;Homo_heidelbergensis;7.29;50.52;457000;445000;1
2748;Homo_heidelbergensis;13.14;41.74;470000;446000;1
2749;Homo_heidelbergensis;7.5;50.38;448000;446000;1
2750;Homo_erectus;115.92;39.69;570000;446000;2
2751;Homo_heidelbergensis;11.18;48.78;500000;450000;1
2756;Homo_erectus;111.12;32.67;570000;466000;1
2757;Homo_heidelbergensis;43.48;42.03;692000;468000;1
2759;Homo_heidelbergensis;1.67;47.27;800000;470000;2
2761;Homo_heidelbergensis;-1.01;52.74;656000;474000;2
2762;Homo_heidelbergensis;0.54;52.41;584000;474000;1
2763;Homo_erectus;115.92;39.69;688000;480000;1
2764;Homo_erectus;102.55;36.44;720000;480000;1
2766;Homo_heidelbergensis;1.84;50.1;666000;486000;2
2768;Homo_heidelbergensis;0.56;52.34;597000;491000;1
2769;Homo_heidelbergensis;22.13;37.4;514800;491200;1
2770;Homo_erectus;110.53;32.99;525000;493000;1
2771;Homo_heidelbergensis;36.45;-1.58;501000;497000;1
2773;Homo_heidelbergensis;36;0.62;518000;500000;1
2774;Homo_heidelbergensis;4.11;44.97;700000;500000;1
2775;Homo_heidelbergensis;0.56;52.34;577000;501000;1
2777;Homo_heidelbergensis;12.33;41.88;517000;515000;1
2780;Homo_heidelbergensis;1.68;47.27;730000;520000;2
2781;Homo_heidelbergensis;1.73;52.45;668000;522000;1
2783;Homo_heidelbergensis;1.84;50.1;695000;533000;2
2784;Homo_erectus;119.03;32.06;621000;533000;1
2785;Homo_heidelbergensis;36;0.62;547000;539000;1
2788;Homo_heidelbergensis;1.3;49.14;763000;553000;1
2789;Homo_heidelbergensis;41.72;43.88;608000;558000;1
2790;Homo_heidelbergensis;2.15;47.15;780000;560000;6
2791;Homo_erectus;118.09;36.12;720000;560000;1
2793;Homo_heidelbergensis;8.8;49.35;649000;569000;1
2794;Homo_heidelbergensis;0.54;52.41;687000;575000;1
2795;Homo_erectus;106.95;33.09;681200;580500;2
2797;Homo_heidelbergensis;14.23;41.6;587000;585000;1
2798;Homo_erectus;109.4;34.24;715000;585000;1
2799;Homo_erectus;111.12;32.67;716000;586000;1
2803;Homo_heidelbergensis;18.15;-33.05;1000000;600000;1
2804;Homo_heidelbergensis;36.45;-1.58;615000;603000;1
2805;Homo_heidelbergensis;1.84;50.1;910000;604000;1
2806;Homo_heidelbergensis;36.45;-1.58;634300;609500;2
2807;Homo_heidelbergensis;40.5;10.6;670000;610000;1
2809;Homo_heidelbergensis;15.82;40.96;618000;610000;1
2810;Homo_heidelbergensis;1.86;50.11;726000;618000;1
2813;Homo_heidelbergensis;15.82;40.96;688000;626000;1
2814;Homo_heidelbergensis;0.23;51.48;772000;626000;1
2815;Homo_heidelbergensis;0.33;35.41;770000;630000;1
2817;Homo_erectus;35.62;33.01;673000;643000;1
2819;Homo_heidelbergensis;15.82;40.96;656000;648000;1
2821;Homo_erectus;74.47;15.38;776000;652000;1
2822;Homo_heidelbergensis;15.82;40.96;663000;657000;1
2824;Homo_heidelbergensis;15.82;40.96;666000;660000;1
2825;Homo_heidelbergensis;36.45;-1.58;679000;663000;1
2826;Homo_heidelbergensis;15.82;40.96;674000;666000;1
2828;Homo_heidelbergensis;15.82;40.96;696100;682400;2
2830;Homo_heidelbergensis;15.82;40.96;703400;689000;2
2832;Homo_erectus;115.92;39.69;850000;690000;1
2833;Homo_heidelbergensis;37.38;8.41;885000;696000;2
2834;Homo_erectus;35.62;33.01;790000;700000;1
2835;Homo_ergaster;39.21;7.5;1450000;700000;1
2836;Homo_erectus;74.61;27.53;876700;717300;1
2837;Homo_erectus;74.94;19.56;880000;720000;1
2838;Homo_erectus;74.19;18.17;860300;758300;1
2839;Homo_erectus;110.05;34.07;792500;762500;1
2840;Homo_erectus;11.95;44.2;935000;765000;1
2841;Homo_erectus;2.01;41.55;945000;771000;1
2842;Homo_erectus;110.85;-7.45;778000;774000;1
2845;Homo_erectus;35.1;32.99;1000000;780000;1
2846;Homo_erectus;23.13;48.15;986000;780000;1
2847;Homo_ergaster;-7.69;33.54;1197000;781000;1
2848;Homo_erectus;110.63;31.85;800000;785000;1
2849;Homo_ergaster;23.33;-27.5;1170000;790000;1
2850;Homo_erectus;106.68;23.96;806000;800000;1
2851;Homo_erectus;106.63;23.82;806000;800000;1
2852;Homo_erectus;107.2;23.57;806000;800000;1
2853;Homo_erectus;106.96;33.07;900000;800000;1
2854;Homo_ergaster;37.29;5.15;930000;810000;1
2855;Homo_ergaster;36.3;8.42;1125000;849000;2
2856;Homo_erectus;34.71;31.5;990000;850000;1
2857;Homo_erectus;32.39;37.97;900000;850000;1
2858;Homo_erectus;4.77;45.31;1024000;854000;1
2860;Homo_ergaster;27.78;-25.92;1048000;868000;1
2861;Homo_erectus;119.68;30.92;940000;886000;1
2862;Homo_erectus;111.22;34.78;920000;890000;1
2863;Homo_ergaster;40.33;14;1091200;892800;1
2864;Homo_erectus;114.67;40.22;1100000;900000;1
2865;Homo_ergaster;40.52;11.1;1400000;900000;1
2866;Homo_ergaster;36.45;-1.58;960000;900000;1
2867;Homo_erectus;1.16;41.13;1068000;932000;1
2869;Homo_ergaster;36.45;-1.58;1031000;953000;1
2870;Homo_erectus;4.77;45.31;1256000;976000;1
2871;Homo_erectus;7.47;43.76;1280000;980000;2
2872;Homo_ergaster;23.33;-27.5;1360000;980000;1
2873;Homo_erectus;0.82;45.52;1110000;1000000;1
2874;Homo_ergaster;27.73;-26.01;1260000;1000000;1
2875;Homo_erectus;35.56;32.68;1530000;1010000;3
2876;Homo_ergaster;40.01;10.09;1051000;1033000;1
2877;Homo_erectus;114.4;40.22;1110000;1047000;2
2879;Homo_ergaster;27.78;-25.92;1650000;1070000;1
2880;Homo_erectus;114.67;40.22;1320000;1080000;1
2883;Homo_erectus;3.42;43.49;1300000;1100000;1
2884;Homo_erectus;76.49;16.48;1440000;1100000;1
2885;Homo_erectus;29.33;37.86;1300000;1100000;1
2886;Homo_ergaster;24.74;-28.32;1520000;1100000;1
2888;Homo_erectus;7.47;43.76;1310000;1130000;1
2889;Homo_erectus;-2.4;37.73;1610000;1130000;1
2890;Homo_erectus;110.7;34.7;1600000;1143000;2
2891;Homo_erectus;114.67;40.22;1430000;1170000;1
2892;Homo_erectus;114.66;40.22;1452000;1188000;1
2893;Homo_erectus;35.56;32.68;1215000;1190000;1
2894;Homo_erectus;-2.5;37.7;1810000;1190000;1
2895;Homo_erectus;106.96;33.07;1220000;1190000;1
2896;Homo_erectus;114.67;40.22;1300000;1200000;1
2898;Homo_ergaster;37.29;5.15;1260000;1220000;1
2899;Homo_erectus;114.66;40.21;1496000;1224000;1
2900;Homo_erectus;110.85;-7.45;1453000;1237000;1
2901;Homo_erectus;112.1;-7.5;1580000;1280000;1
2902;Homo_erectus;-2.25;37.45;1630000;1290000;1
2903;Homo_erectus;15.23;41.48;1600000;1300000;1
2904;Homo_erectus;114.66;40.21;1480000;1360000;1
2905;Homo_erectus;112.1;-7.5;1620000;1360000;1
2906;Homo_ergaster;37.29;5.15;1440000;1380000;1
2907;Homo_ergaster;36.4;4.17;1470000;1390000;1
2908;Homo_ergaster;35;4.02;1450000;1390000;2
2909;Homo_erectus;114.66;40.22;1705000;1395000;1
2910;Homo_erectus;22.7;43.65;1600000;1400000;1
2911;Homo_ergaster;36.3;8.42;1918000;1400000;2
2912;Homo_erectus;44.52;40.96;1460000;1404000;1
2913;Homo_ergaster;35.9;4.13;1500000;1410000;2
2915;Homo_ergaster;24.31;-28.32;1590000;1430000;1
2916;Homo_ergaster;37.29;5.15;1470000;1430000;1
2917;Homo_erectus;79.88;13.23;1580000;1440000;1
2919;Homo_ergaster;36.227;4.311;1540000;1460000;1
2920;Homo_ergaster;36.4;4.17;1793000;1467000;1
2921;Homo_erectus;114.66;40.22;1804000;1476000;1
2922;Homo_erectus;114.66;40.22;1826000;1494000;1
2923;Homo_erectus;114.66;40.22;1600000;1500000;1
2924;Homo_ergaster;36.4;4.17;1640000;1500000;3
2926;Homo_ergaster;36.27;4.31;1540000;1520000;1
2928;Homo_erectus;3.42;43.49;1580000;1560000;1
2930;Homo_erectus;35.56;32.68;1575000;1567000;1
2931;Homo_ergaster;24.73;-28.32;1890000;1570000;1
2932;Homo_ergaster;35.71;4.03;1936000;1584000;1
2934;Homo_erectus;109.48;34.18;1940000;1610000;2
2935;Homo_ergaster;37.29;5.15;1650000;1610000;1
2936;Homo_ergaster;40.52;11.1;1655000;1627000;1
2937;Homo_habilis;35.34;-3;1707000;1647000;1
2938;Homo_ergaster;36.19;3.4;2113100;1677690;3
2939;Homo_habilis;36.19;3.4;2055130;1681470;1
2940;Homo_ergaster;35.35;-2.98;1713000;1683000;1
2941;Homo_erectus;101.92;25.67;1750000;1690000;1
2943;Homo_erectus;38.8;35.19;1900000;1700000;1
2944;Homo_habilis;36.05;4.05;1800000;1700000;1
2945;Homo_ergaster;37.29;5.15;1770000;1710000;1
2948;Homo_erectus;44.2;41.33;1850000;1780000;1
2949;Homo_ergaster;35.7;4.03;1800000;1780000;1
2950;Homo_habilis;36.36;4.07;1870000;1780000;1
2951;Homo_habilis;40.52;11.1;2550000;1800000;3
2952;Homo_habilis;36;5.1;2000000;1800000;1
2953;Homo_ergaster;27.76;-25.97;2281000;1801000;1
2954;Homo_habilis;36.23;4.09;2115000;1815000;3
2955;Homo_habilis;35.24;-2.95;1856000;1840000;1
2956;Homo_habilis;35.18;-2.98;1890000;1845000;2
2957;Homo_habilis;36.31;4.46;1980000;1848000;2
2958;Homo_ergaster;36.05;4.15;1890000;1850000;1
2961;Homo_habilis;36.41;4.18;1950000;1900000;1
2963;Homo_habilis;34.53;-0.34;2300000;1920000;1
2964;Homo sapiens;35.81;-4.49;30320;29820;1
2965;Homo sapiens;31.37;26.78;35550;28050;8
2966;Homo sapiens;34.047;-0.448;37840;30140;2
2967;Homo sapiens;35.81;-4.49;31020;30580;1
2968;Homo sapiens;27.466;-29.216;31110;30530;2
2969;Homo sapiens;35.81;-4.49;31630;30630;2
2970;Homo sapiens;35.3;-7.4;50100;31630;4
2971;Homo sapiens;22.05;32.9;52100;28400;3
2972;Homo sapiens;-6.93;33.93;44660;27350;2
2973;Homo sapiens;22.158;-33.37;35250;31700;7
2974;Homo sapiens;-12.207;13.997;36000;30000;1
2975;Homo sapiens;35.81;-4.49;42200;33040;3
2976;Homo sapiens;35.81;-4.49;34660;34100;1
2977;Homo sapiens;31.988;-27.024;40250;34120;4
2978;Homo sapiens;31.988;-27.024;40200;33870;5
2979;Homo sapiens;26.852;-31.57;37250;32800;2
2980;Homo sapiens;41.83;9.54;37300;35250;2
2981;Homo sapiens;34.166;-0.4;43100;35040;2
2982;Homo sapiens;36.15;-0.83;41500;35250;2
2983;Homo sapiens;25.58;-31.34;39500;32900;1
2984;Homo sapiens;31.988;-27.024;37900;35500;1
2985;Homo sapiens;31.988;-27.024;40420;36900;5
2986;Homo sapiens;31.988;-27.024;41200;36400;6
2987;Homo sapiens;17.08;-27.42;45600;38110;2
2988;Homo sapiens;31.085;-29.522;40500;36700;1
2989;Homo sapiens;-6.925;33.952;52000;36000;3
2990;Homo sapiens;35.81;-4.49;41600;39600;1
2991;Homo sapiens;-0.35;10.64;52220;29340;1
2992;Homo sapiens;-5.94;35.71;45000;37000;1
2993;Homo sapiens;35.81;-4.49;42300;40300;1
2994;Homo sapiens;36.15;-0.83;42100;40700;1
2995;Homo sapiens;31.988;-27.024;49660;40570;4
2996;Homo sapiens;27.466;-29.216;44300;41500;1
2997;Homo sapiens;-5.56;35.45;46000;40000;1
2998;Homo sapiens;24.39;-34.108;61000;40400;3
2999;Homo sapiens;-16.862;14.27;50200;40990;2
3000;Homo sapiens;22.158;-33.37;48000;40000;1
3001;Homo sapiens;-6.925;33.952;54000;43000;2
3002;Homo sapiens;34.157;-0.844;97300;42000;5
3003;Homo sapiens;22.05;32.9;77900;41700;6
3004;Homo sapiens;24.39;-34.108;70900;43400;5
3005;Homo sapiens;31.988;-27.024;55960;45340;4
3006;Homo sapiens;-5.94;35.71;52000;42000;1
3007;Homo sapiens;31.085;-29.522;49100;46300;1
3008;Homo sapiens;31.988;-27.024;51170;46710;2
3009;Homo sapiens;22.08;-34.2;55000;49000;2
3010;Homo sapiens;18.452;-32.386;57000;47000;1
3011;Homo sapiens;19.35;-34.566;58700;49900;1
3012;Homo sapiens;31.988;-27.024;62610;52350;2
3013;Homo sapiens;22.158;-33.37;73000;50000;4
3014;Homo sapiens;24.39;-34.108;71300;51700;2
3015;Homo sapiens;-1.873;34.557;60400;53400;1
3016;Homo sapiens;17.08;-27.42;60500;54300;2
3017;Homo sapiens;19.35;-34.566;62500;53500;1
3018;Homo sapiens;31.085;-29.522;59900;57100;1
3019;Homo sapiens;20.72;-34.108;64000;54800;1
3020;Homo sapiens;32.836;26.103;66400;53200;1
3021;Homo sapiens;31.988;-27.024;63000;57000;1
3022;Homo sapiens;10.528;24.859;71000;51000;1
3023;Homo sapiens;31.085;-29.522;67000;59700;3
3024;Homo sapiens;-16.862;14.27;64500;59300;1
3025;Homo sapiens;22.08;-34.2;75000;59000;6
3026;Homo sapiens;-6.925;33.952;66000;58000;1
3027;Homo sapiens;19.35;-34.566;67900;57300;1
3028;Homo sapiens;27.77;-25.97;64200;61600;1
3029;Homo sapiens;17.08;-27.42;65500;60900;1
3030;Homo sapiens;31.988;-27.024;76000;61000;3
3031;Homo sapiens;-5.94;35.71;70000;58000;1
3032;Homo sapiens;18.452;-32.386;95000;57000;5
3033;Homo sapiens;34.802;-2.588;69400;60600;1
3034;Homo sapiens;-6.95;33.916;116300;56100;4
3035;Homo sapiens;20.72;-34.108;70300;60700;1
3036;Homo sapiens;19.35;-34.566;72300;60500;1
3037;Homo sapiens;17.08;-27.42;69500;64300;1
3038;Homo sapiens;19.35;-34.566;74700;59900;1
3039;Homo sapiens;18.452;-32.386;75000;61000;1
3040;Homo sapiens;24.39;-34.108;113000;61900;6
3041;Homo sapiens;31.085;-29.522;72900;68100;1
3042;Homo sapiens;17.08;-27.42;73300;68100;1
3043;Homo sapiens;24.39;-34.108;84400;68700;2
3044;Homo sapiens;31.085;-29.522;80000;70000;3
3045;Homo sapiens;-6.95;33.916;77500;69100;1
3046;Homo sapiens;31.988;-27.024;79000;75000;1
3047;Homo sapiens;21.222;-34.414;93500;70900;3
3048;Homo sapiens;-5.43;35.9;86900;71900;1
3049;Homo sapiens;22.08;-34.2;102000;77000;3
3050;Homo sapiens;-3.092;34.784;88900;77700;1
3051;Homo sapiens;21.222;-34.414;99700;79600;2
3052;Homo sapiens;-1.873;34.557;89900;80900;1
3053;Homo sapiens;-1.873;34.557;91300;81500;1
3054;Homo sapiens;33.97;26.2408333;96300;77500;1
3055;Homo sapiens;27.77;-25.97;88600;85400;1
3056;Homo sapiens;33.97;26.2408333;97100;77900;1
3057;Homo sapiens;33.97;26.2408333;97300;79700;1
3058;Homo sapiens;22.089;-34.207;94000;86000;1
3059;Homo sapiens;22.089;-34.207;103000;86000;2
3060;Homo sapiens;40.31;10.25;109000;77000;2
3061;Homo sapiens;40.31;10.25;107000;77000;2
3062;Homo sapiens;-6.925;33.952;103000;81000;1
3063;Homo sapiens;22.089;-34.207;97000;91000;1
3064;Homo sapiens;-6.96;33.92;110900;92000;2
3065;Homo sapiens;18.452;-32.386;118000;90000;2
3066;Homo sapiens;18.452;-32.386;110000;90000;1
3067;Homo sapiens;18.452;-32.386;119000;95000;2
3068;Homo sapiens;-6.95;33.916;114900;101700;1
3069;Homo sapiens;-1.873;34.557;118400;98600;1
3070;Homo sapiens;24.39;-34.108;112000;105200;1
3071;Homo sapiens;-6.95;33.916;111400;106400;1
3072;Homo sapiens;18.452;-32.386;119000;99000;1
3073;Homo sapiens;22.089;-34.207;114000;106000;1
3074;Homo sapiens;31.988;-27.024;123000;107000;2
3075;Homo sapiens;-6.96;33.92;118700;111900;1
3076;Homo sapiens;27.9;-33.02;124000;112000;1
3077;Homo sapiens;33.97;26.2408333;126000;110000;1
3078;Homo sapiens;33.97;26.2408333;129500;107500;1
3079;Homo sapiens;-6.95;33.916;140200;114100;2
3080;Homo sapiens;33.97;26.2408333;136000;106400;1
3081;Homo sapiens;-6.96;33.92;126800;117800;1
3082;Homo sapiens;-1.873;34.557;131300;113700;1
3083;Homo sapiens;22.089;-34.207;129000;119000;1
3084;Homo sapiens;30.834;25.24;128800;120800;1
3085;Homo sapiens;35.3525;-2.996111;133000;125000;1
3086;Homo sapiens;-3.092;34.784;137800;122200;1
3087;Homo sapiens;33.93;13.15;135000;131000;1
3088;Homo sapiens;-1.873;34.557;145600;125000;1
3089;Homo sapiens;31.988;-27.024;173000;133000;3
3090;Homo sapiens;40.52;10.29;162000;147000;2
3091;Homo sapiens;22.089;-34.207;167000;147000;1
3092;Homo sapiens;22.089;-34.207;167000;151000;1
3093;Homo sapiens;22.089;-34.207;168000;156000;1
3094;Homo sapiens;-5.43;35.9;179000;157000;1
3095;Homo sapiens;-5.43;35.9;183000;163000;1
3096;Homo sapiens;30.32;20.7;202000;162000;1
3097;Homo sapiens;31.988;-27.024;238000;163000;2
3098;Homo sapiens;38.49;7.98;193000;173000;1
3099;Homo sapiens;35.55;5.24;200000;190000;1
3100;Homo sapiens;35.54;5.24;200000;190000;1
3101;Homo sapiens;36;0.62;241000;233000;1
3102;Homo sapiens;-5.43;35.9;271000;237000;1
3103;Homo sapiens;26.06;-28.76;294000;224000;1
3104;Homo sapiens;38.59;7.98;281000;269000;1
3105;Homo sapiens;36;0.62;296000;272000;1
3106;Homo sapiens;-8.87;31.88;349000;254000;2
3108;Homo sapiens;23.01;-27.65;336000;246000;1
3107;Homo sapiens;112.36;48.27;30730;30030;1
3108;Homo sapiens;40.93;28.00;84300;65100;2
3109;Homo sapiens;40.93;28.00;140000;120000;1
